Ni,CeO2,ZrO2,XCH4,XCO2,H2/CO,Coke,,,
6,2.5,2.5,78,86,0.89,0.9,7.62E+01,8.48E+01,8.64E-01
6,5,2.5,60,75,0.83,7.2,6.45E+01,7.47E+01,8.20E-01
6,2.5,2.5,78,86,0.89,0.9,7.62E+01,8.48E+01,8.64E-01
10,5,0,80,87,0.91,1.5,8.02E+01,8.78E+01,8.98E-01
7.33,5,5,78,86,0.88,0.2,7.52E+01,8.44E+01,8.73E-01
2,0,0,44,58,0.62,0.3,4.51E+01,5.74E+01,5.80E-01
2,2.5,0,40,55,0.53,0.2,4.38E+01,5.62E+01,5.64E-01
10,0,1.66,82,89,0.92,2,8.00E+01,8.79E+01,9.09E-01
2,0,3.33,67,74,0.55,1.2,6.75E+01,7.78E+01,7.07E-01
10,3.33,5,76,85,0.9,0.4,7.63E+01,8.47E+01,8.70E-01
10,2.5,2.5,79,87,0.9,2.9,7.86E+01,8.65E+01,8.95E-01
4.66,5,0,75,84,0.88,1,7.42E+01,8.47E+01,8.89E-01
10,1.66,0,78,86,0.9,2.3,7.78E+01,8.59E+01,9.01E-01
10,5,0,80,87,0.91,1.5,8.02E+01,8.78E+01,8.98E-01
6,2.5,2.5,78,86,0.89,0.9,7.62E+01,8.48E+01,8.64E-01
10,0,5,79,87,0.9,1.4,7.83E+01,8.56E+01,8.75E-01
6,0,2.5,75,84,0.89,1.3,7.62E+01,8.50E+01,8.63E-01
4,1.25,1.25,74,84,0.88,0.4,7.36E+01,8.36E+01,8.29E-01
2,5,5,63,75,0.77,0.4,6.38E+01,7.51E+01,7.39E-01
6,0,0,76,85,0.88,0.5,7.27E+01,8.22E+01,8.69E-01
2,5,5,63,75,0.77,0.4,6.38E+01,7.51E+01,7.39E-01
2,1.66,5,62,74,0.74,0.5,6.96E+01,7.94E+01,7.33E-01
2,5,1.66,64,76,0.78,0.2,5.75E+01,6.87E+01,7.32E-01
2,2.5,2.5,50,64,0.66,0.6,5.96E+01,7.09E+01,7.02E-01
2,0,0,44,58,0.62,0.3,4.51E+01,5.74E+01,5.80E-01
8,3.75,1.25,77,85,0.88,0.6,7.50E+01,8.32E+01,8.82E-01
4.66,0,5,75,84,0.87,0.2,7.33E+01,8.23E+01,8.07E-01
10,5,3.33,77,85,0.89,0.9,6.92E+01,7.84E+01,8.30E-01
4,3.75,3.75,67,79,0.84,6.2,7.18E+01,8.17E+01,8.39E-01
8,1.25,3.75,69,80,0.85,4.9,7.75E+01,8.56E+01,8.71E-01
10,0,5,79,87,0.9,1.4,7.83E+01,8.56E+01,8.75E-01
